timestamp,wind_speed,wind_direction,power,temperature,turbine_id,rated_power,exclusion_reason
2017-01-08 22:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 22:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 23:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 00:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 01:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 02:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 03:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 04:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 05:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 05:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 05:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 05:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-09 05:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 10:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 10:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 10:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 10:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 10:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 11:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 12:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 13:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 14:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 14:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 14:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 14:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-10 14:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-11 20:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-11 21:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-11 21:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-11 21:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
